TIMESTAMP_START,H_CORR,LE_CORR,H_F_MDS_QC,LE_F_MDS_QC,G_F_MDS,G_F_MDS_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,NETRAD,USTAR,RH,PPFD_IN,PPFD_OUT,SWC_F_MDS_1,SWC_F_MDS_1_QC,SWC_F_MDS_2,SWC_F_MDS_2_QC,SWC,CO2_F_MDS,CO2_F_MDS_QC,SW_IN_POT,fPAR,Es,Delta,r,Density,L,ksi,Ra,Ga,Rs,Gs,VPD_leaf,lai
2012-10-26 08:00:00,-15.5938,0.701967,1,1,-18.8402,0.0,4.51527,2.43682,1.70839,1,2.168,0,59.922,0,0.0,0,89.84899999999998,0,0.0,0,0.276,0,-17.6344,0.15872,,114.866,9.58925,30.22300000000001,0,29.55,0,30.22300000000001,498.399,0,297.617,0.9165179426462141,0.7036474234039767,0.0502842621290584,0.0585705176300097,,,,351.56707395238686,0.0028444074376983,,,,
2012-10-26 08:00:30,6.7683300000000015,,0,1,-16.8815,0.0,,,,2,2.968,0,97.662,0,0.0,0,89.821,0,0.0,0,0.348,0,8.7547,0.10601,,178.062,11.9328,30.221,0,29.553,0,30.221,501.994,0,393.14300000000003,0.9329851400074132,0.7449069225795112,0.0528788617012192,0.05859659019777,,,,278.82905865189315,0.0035864267692717,,,,
2012-10-26 09:00:00,-1.13616,2.60893,1,1,-15.3024,0.0,,,,2,4.396,0,146.869,0,0.0,0,89.79899999999998,0,0.0,0,0.326,0,34.0827,0.17737,,267.034,16.3517,30.218000000000004,0,29.566999999999997,0,30.218000000000004,477.89099999999996,0,478.155,0.9387654755574196,0.8238877484487678,0.0577964378886796,0.0586615060144474,,,,297.6457435915914,0.0033596986401798,,,,
2012-10-26 09:00:30,22.2837,15.5399,0,0,-10.4674,0.0,15.0821,6.06687,-7.05547,1,5.904,0,185.709,0,0.0,0,89.766,0,0.0,0,0.8079999999999999,0,55.6607,0.06,,369.906,23.3808,30.241999999999997,0,29.570999999999998,0,30.241999999999997,461.19599999999997,0,551.197,0.9367925905500316,0.9152252797988614,0.0634101140644485,0.0587238597707525,,,,120.08974308274605,0.0083271058321022,,,,
2012-10-26 10:00:00,21.2047,19.6677,0,0,1.5805,0.0,15.1846,5.91735,-6.66223,1,6.992000000000001,0,181.28900000000002,0,0.0246,0,89.73200000000001,0,0.0,0,0.54,0,70.4857,0.1342,0.9754799999999999,322.4790000000001,18.6374,30.239,0,29.58,0,30.239,449.272,0,611.019,0.9422058490630398,0.9865541582247108,0.0677445551615964,0.0587622843210915,1.1113410677607525,-8.937613771372597,-0.2616928101650114,179.6898377978866,0.005565144986801,379.5075075647615,2.6349939858023856,0.3899821608109686,
2012-10-26 10:00:30,36.5869,31.0088,0,0,7.14187,0.0,16.1859,7.3952899999999975,-7.11947,1,8.164,0,250.61900000000003,0,0.1429,0,89.681,0,0.0,0,0.557,0,125.035,0.08621000000000001,0.8683200000000002,454.579,25.9277,30.232,0,29.59,0,30.232,446.63699999999994,0,656.5980000000002,0.9429632693107248,1.068825896611877,0.0726947935884535,0.0587943402621497,1.1062399406392551,-1.3726461065727475,-1.7039419357986152,174.2055878112366,0.0057403439956447,566.6645119143823,1.7647125926796892,0.9228192590578796,
2012-10-26 11:00:00,40.8174,66.4984,0,0,12.7574,0.0,15.1554,7.901110000000001,-5.4069400000000005,1,9.602,0,279.759,0,0.2625,0,89.635,0,0.0,0,0.562,0,142.012,0.13663,0.7804899999999998,499.14300000000003,28.7981,30.241999999999997,0,29.589000000000002,0,30.241999999999997,447.103,0,687.154,0.9423049106167972,1.1779773665776403,0.0791880565146956,0.0588446508608386,1.100087590700728,-4.895492605663121,-0.4777679086460762,172.65571603355656,0.0057918731158929,165.87104291745231,6.028779842529005,0.5830166846198792,
2012-10-26 11:00:30,45.2301,53.266999999999996,0,0,18.2344,0.0,13.9601,6.76036,-3.9256,0,10.208,0,224.669,0,0.3033,0,89.589,0,0.0,0,0.36,0,108.24,0.10635,0.75652,402.88,22.0867,30.243000000000002,0,29.609,0,30.243000000000002,444.4,0,702.165,0.9451779686258936,1.2268359024472026,0.0820691526029083,0.0588484115245101,1.09712880663103,-2.082325471729739,-1.1232198307871262,269.53475669682996,0.0037100966578673,225.82130744399208,4.428280091541045,0.6375581024359968,
2012-10-26 12:00:00,37.3012,65.918,0,0,21.5583,0.0,15.7396,6.53181,-5.4025,1,10.844000000000001,0,216.199,0,0.3626,0,89.542,0,0.0,0,0.196,0,107.39,0.08725,0.72096,395.249,20.2742,30.246,0,29.604,0,30.246,441.6,0,701.373,0.9487052465660888,1.2800208232695354,0.0851885902935552,0.0588532025155787,1.094119754388812,-1.3935357270037358,-1.6783992104952534,495.0638388309122,0.0020199415137277,59.26741242231985,16.87267857881719,0.2076561113507296,
2012-10-26 12:00:30,29.0072,62.8847,0,0,22.5665,0.0,15.3277,6.0129800000000015,-4.76975,1,11.311,0,194.68900000000002,0,0.3862,0,89.484,0,0.0,0,0.73,0,90.3437,0.06323,0.7119300000000001,349.506,17.3981,30.238000000000003,0,29.59800000000001,0,30.238000000000003,440.69199999999995,0,684.7919999999998,0.9502208831894159,1.3203532015246349,0.0875429940913195,0.0588412786599795,1.091533810833563,-0.6815445375580127,-3.4317775803476573,132.92124987788878,0.007523251556231,68.72393963446903,14.550970234227409,0.2302064234019673,
