"","Site","Lat","Lon","Datetime","PFT","Climate","Tair","SW","RH","VPD","WS","Ca","SWC","LAI","flag_rain","flag_daytime","flag_GS","flag_peak","Gs"
"237171","US-KS2",28.6086,-80.6715,"2004-03-02 13:00:00","CSH","Temperate",25.05,735,55.58,1.411,3.193,380.033,0.057,1.2737566,0,1,1,0,0.267540461182352
"262948","US-Goo",34.2547,-89.8735,"2005-09-12 07:30:00","GRA","Temperate",22.9,354,79.5,0.575,1.3,-9999,0.41,2.8939986,0,1,1,1,0.191187888158141
"426241","IT-Noe",40.6062,8.1517,"2004-07-19 10:00:00","CSH","Temperate",27.97,780.51,58.9,1.5512,1.296,381.453,0.16255,1.6217108,0,1,1,0,0.0225342671746103
"606355","DE-Lkb",49.0996,13.3047,"2013-07-02 15:30:00","ENF","Continental",17.9,662.17,49.62,1.0336,1.213,357.926,0.34,3.4650526,0,1,1,1,0.122116939945358
"356886","NL-Loo",52.1666,5.7436,"2006-07-21 13:00:00","ENF","Temperate",28.97,815,44.06,2.2375,3.04,373.11,0.046,2.2614355,0,1,1,1,0.129568472159355
"325970","US-AR2",36.6358,-99.5975,"2011-09-30 11:30:00","GRA","Temperate",20.05,805.201,29.101,1.67,1.586,355.087,0.0615,0.5,0,1,1,0,0.0211471214196853
"122594","US-SRM",31.8214,-110.8661,"2007-05-19 17:00:00","WSA","Arid",30.9,408.1,5.305,4.231,3.827,376.284,0.0129,0.30000004,0,1,1,0,0.0086835173603677
"422913","IT-PT1",45.2009,9.061,"2003-07-20 14:30:00","DBF","Temperate",33.34,810.667,40.0896,3.0723,0.582,358.376,0.15162,1.2360456,0,1,1,0,0.130709482984324
"511332","IT-BCi",40.5237,14.9574,"2010-03-25 12:00:00","CRO","Temperate",16.77,455.8,82,0.3438,1.771,369.067,0.2425,0.94350308,0,1,1,0,3.16093951726353
"651792","CN-Cng",44.5934,123.5092,"2009-05-20 06:30:00","GRA","Continental",19.74,292.88,57.24,0.9843,6.253,358.563,0.678,0.30000001,0,1,1,0,0.0758244109591446
"891269","AU-Gin",-31.3764,115.7138,"2014-10-28 15:30:00","WSA","Temperate",25.71,285,54,1.5204,4.84,372.3,0.049,1.1147014,0,1,1,1,0.0934092186410484
"176711","US-Oho",41.5545,-83.8438,"2012-06-26 12:00:00","DBF","Continental",24.143,979.81,35.081,1.954,2.357,374.39,0.17314,5.6208601,0,1,1,1,0.541900861575725
"754660","CA-Gro",48.2167,-82.1556,"2006-05-15 14:00:00","MF","Continental",20.764,257.24,34.721,1.6,4.981,383.786,0.47121,2.0947027,0,1,1,0,0.0899282849353856
"687805","CA-TP4",42.7102,-80.3574,"2007-07-08 11:00:00","ENF","Continental",26.27,841,75.4,0.841,3.627,365.788,0.089,4.5593276,0,1,1,1,0.494458579686951
"656185","CH-Fru",47.1158,8.5378,"2006-09-07 10:00:00","GRA","Arctic",21.559,647.73,68.622,0.8078,0.638,341.089,0.32712,3.7975433,0,1,1,0,0.517323352916184
"7239","US-Wkg",31.7365,-109.9419,"2005-08-07 11:00:00","GRA","Arid",27.58,1032.75,37.775,2.295,3.802,361.205,0.03,0.30746725,0,1,1,1,0.0213178362246871
"234076","US-Lin",36.3566,-119.0922,"2010-05-19 08:30:00","CRO","Arid",19.45,748.743,61.66,0.8663,3.05,410.93,0.22,1.0078467,0,1,1,1,0.276496385267294
"337585","SD-Dem",13.2829,30.4783,"2008-07-08 10:30:00","SAV","Arid",29.24,792,51.5313,1.9691,5.404,389.47,0.079,0.22386649,0,1,1,1,0.0855332142084865
"697529","CA-TP4",42.7102,-80.3574,"2012-09-29 13:00:00","ENF","Continental",15.83,620.4,65.31,0.624,1.505,386.884,0.092,3.1113262,0,1,1,1,0.399285979794123
"558555","ES-Amo",36.8336,-2.2523,"2012-01-15 10:30:00","OSH","Arid",14.236,341.588,37.0318,1.0225,0.843,365.987,0.13756,0.49496722,0,1,1,1,0.0335691446697649
"258898","US-Goo",34.2547,-89.8735,"2003-02-28 09:00:00","GRA","Temperate",3.6,117,97.1,0.024,1.15,-9999,0.34,0.80683684,0,1,1,0,1.06806732344979
"758691","CA-Gro",48.2167,-82.1556,"2011-08-18 12:00:00","MF","Continental",22.532,730.725,46.68,1.456,5.482,374.428,0.22446,3.7490509,0,1,1,1,0.334331385626736
"829000","AU-TTE",-22.287,133.64,"2014-03-04 12:30:00","GRA","Arid",28.48,1052,38,2.4105,3.65,379.2,0.03,0.73685646,0,1,1,1,0.094943897694213
"820179","AU-Tum",-35.6566,148.1517,"2009-07-17 13:00:00","EBF","Temperate",6.32,530,64,0.3443,1.61,370.3,0.32,4.4966717,0,1,1,0,1.04097941123344
"606821","DE-Lkb",49.0996,13.3047,"2013-11-18 13:30:00","ENF","Continental",7.71,285.33,51,0.5155,0.593,389.64,0.3,0.94432497,0,1,1,0,0.358481268298136
"762438","BR-Sa3",-3.018,-54.9714,"2002-07-20 15:00:00","EBF","Tropical",28.11,175.42,67.272,1.251,1.33,377.52,0.25,5.0784612,0,1,1,0,0.1535835424161
"391527","IT-SRo",43.7279,10.2844,"2005-10-14 15:00:00","ENF","Temperate",23.05,353.68,68.864,0.8776,1.257,383.841,0.1097,2.5856493,0,1,1,0,0.155429462475354
"951601","AU-DaP",-14.0633,131.3181,"2013-01-09 11:00:00","GRA","Tropical",30.41,742,69,1.347,2.42,343.7,0.104,2.1058085,0,1,1,1,0.621047842862133
"976469","AU-Ade",-13.0769,131.1178,"2009-05-23 09:00:00","WSA","Tropical",22.6,460,61,1.0697,1,369.9,0.13,0.92373896,0,1,1,0,0.0389619759698202
"455347","IT-MBo",46.0147,11.0458,"2010-05-27 09:30:00","GRA","Continental",12.559,911.77,57.485,0.6188,1.273,377.994,0.38206,1.9319067,0,1,1,0,0.443350605433296
"470058","IT-Lav",45.9562,11.2813,"2008-10-15 14:00:00","ENF","Temperate",16.452,420.517,48.264,0.9685,1.067,367.258,0.26733,2.4940884,0,1,1,1,0.175951269984671
