,Unnamed: 0,Site,Lat,Lon,Datetime,PFT,Climate,Tair,SW,RH,VPD,WS,Ca,SWC,LAI,flag_rain,flag_daytime,flag_GS,flag_peak,Gs
2549,483420,IT-Cpz,41.7052,12.3761,2002-01-22 13:30:00,EBF,Temperate,11.323,353.71,69.12,0.4143,2.407,373.764,0.1941,2.4057491,0,1,1,0,0.202818348325634
193,714437,CA-TP3,42.7068,-80.3483,2014-10-07 12:00:00,ENF,Continental,14.28,265.616,79.21,0.339,2.672,402.863,0.089,3.8140342,0,1,1,0,0.505818693400049
3057,96303,US-Ton,38.4309,-120.966,2010-06-17 11:00:00,WSA,Temperate,26.38,976.938,20.09,2.747,2.076,374.484,0.11,1.3045088,0,1,1,1,0.175456541683678
3246,213529,US-Me2,44.4523,-121.5574,2002-07-30 14:30:00,ENF,Temperate,21.8,765.9,39.3,1.581,7.7,361.5,0.1,1.6618062,0,1,1,1,0.206865763859171
1394,243902,US-KS2,28.6086,-80.6715,2006-04-10 17:00:00,CSH,Temperate,21.47,245.0,48.68,1.314,3.563,382.871,0.07,2.6620665,0,1,1,0,0.104444306585447
2637,9959,US-Wkg,31.7365,-109.9419,2007-08-19 10:30:00,GRA,Arid,25.82,553.962,61.398,1.284,2.97,335.411,0.05,0.98052394,0,1,1,1,0.0699394142349368
768,358132,NL-Loo,52.1666,5.7436,2007-04-22 08:00:00,ENF,Temperate,9.86,368.9,56.9,0.5245,2.738,406.73,0.052,1.8946192,0,1,1,0,0.385538706299412
4702,735034,CA-SF2,54.2539,-105.8775,2003-09-03 11:00:00,ENF,Continental,19.1,577.9,57.0,0.955,1.98,352.701,0.07,1.8943344,0,1,1,0,0.181986398610472
3090,851895,AU-How,-12.4943,131.1523,2006-06-28 13:30:00,WSA,Tropical,29.76,783.0,34.0,2.7628,2.74,358.6,0.077,1.5604804,0,1,1,0,0.188873405952679
3495,226099,US-Me2,44.4523,-121.5574,2011-06-20 08:30:00,ENF,Temperate,13.85,744.473,60.842,0.616,2.989,388.38,0.176,1.8651862,0,1,1,1,0.37235043251911
3215,561406,DK-Sor,55.4859,11.6446,2004-06-05 13:30:00,DBF,Temperate,16.73,658.9,49.2,0.9679,3.54,445.335,0.2165,6.3687739,0,1,1,1,0.312375369083568
285,917375,AU-Dry,-15.2588,132.3706,2012-11-28 07:30:00,SAV,Tropical,26.59,228.0,75.0,0.8704,1.16,396.4,0.04,1.0156512,0,1,1,0,0.0644487179492437
4938,655335,CH-Fru,47.1158,8.5378,2006-06-03 11:00:00,GRA,Arctic,8.766,432.8,67.538,0.367,3.366,343.932,0.52981,2.4680226,0,1,1,1,1.14669212585471
428,592040,DE-Obe,50.7867,13.7213,2010-04-29 07:30:00,ENF,Continental,14.12,384.555,44.3817,0.8963,2.637,384.651,0.3691,1.6994952,0,1,1,0,0.511412398516403
4448,649002,CN-Cng,44.5934,123.5092,2007-09-07 12:30:00,GRA,Continental,28.17,700.521,33.37,2.5446,3.913,258.442,0.439,0.52510488,0,1,1,1,0.0394868297630337
2332,288114,US-Blo,38.8953,-120.6328,2003-06-26 09:00:00,ENF,Temperate,25.513,826.54,19.965,2.501,1.881,370.392,0.12619,1.9438425,0,1,1,1,0.277123893540586
2717,930239,AU-DaS,-14.1593,131.3881,2010-03-18 14:30:00,SAV,Tropical,34.14,918.0,30.0,3.7535,2.84,346.4,0.038,1.724654,0,1,1,0,0.143302063220932
2079,762439,BR-Sa3,-3.018,-54.9714,2002-07-20 15:30:00,EBF,Tropical,27.91,196.46,67.76,1.218,1.65,376.93,0.25,5.0784612,0,1,1,0,0.200998931412716
3389,858608,AU-How,-12.4943,131.1523,2010-01-08 10:00:00,WSA,Tropical,31.21,703.0,68.0,1.4553,3.17,360.0,0.188,1.9318055,0,1,1,1,0.553875415404934
722,184866,US-NR1,40.0329,-105.5464,2010-06-03 11:00:00,ENF,Continental,10.65,317.01,53.11,0.602,3.91,391.25,0.291,1.3607279,0,1,1,1,0.535332815490377
951,388547,IT-SRo,43.7279,10.2844,2003-11-22 10:00:00,ENF,Temperate,15.36,303.238,88.93,0.1933,1.608,413.342,0.16768,1.7333105,0,1,1,0,1.75812986669738
4383,668006,CH-Dav,46.8153,9.8559,2008-08-31 10:30:00,ENF,Arctic,19.033,746.817,52.5333,1.0455,2.157,358.516,0.26607,2.2049141,0,1,1,1,0.22997659115998
4366,202115,US-MMS,39.3232,-86.4131,2005-05-25 12:00:00,DBF,Continental,16.84,869.79,53.301,0.9,3.03,382.67,0.41,5.3648677,0,1,1,0,0.529009797277559
2262,744970,CA-Qfo,49.6925,-74.3421,2005-08-15 16:00:00,ENF,Continental,21.18,295.5,46.82,1.343,3.892,358.578,0.099,1.7950718,0,1,1,1,0.116269154618609
989,513343,GH-Ank,5.2685,-2.6942,2011-11-30 11:00:00,EBF,Tropical,29.02,647.1,76.75,0.9326,1.778,411.004,0.183,4.6630049,0,1,1,0,0.584718168180368
